ENTITY,CIK,DATE,NetIncomeLoss,Revenues,OperatingIncomeLoss,ProfitMarginPercent,Year,Quarter
THE BOEING COMPANY,12927,2008-06-30,852.0,16962.0,1247.0,5.022992571630704,2008,Q2
THE BOEING COMPANY,12927,2008-09-30,695.0,15293.0,1147.0,4.544562871902177,2008,Q3
THE BOEING COMPANY,12927,2009-03-31,610.0,16502.0,1025.0,3.696521633741365,2009,Q1
THE BOEING COMPANY,12927,2009-06-30,998.0,17154.0,1529.0,5.817885041389763,2009,Q2
THE BOEING COMPANY,12927,2009-09-30,-1564.0,16688.0,-2151.0,-9.372003835091084,2009,Q3
THE BOEING COMPANY,12927,2009-12-31,1268.0,17937.0,1693.0,7.06918659753582,2009,Q4
THE BOEING COMPANY,12927,2010-03-31,519.0,15216.0,1174.0,3.410883280757098,2010,Q1
THE BOEING COMPANY,12927,2010-06-30,787.0,15573.0,1307.0,5.05361844217556,2010,Q2
THE BOEING COMPANY,12927,2010-09-30,837.0,16967.0,1387.0,4.93310543997171,2010,Q3
THE BOEING COMPANY,12927,2010-12-31,1164.0,16550.0,1103.0,7.033232628398792,2010,Q4
THE BOEING COMPANY,12927,2011-03-31,586.0,14910.0,1000.0,3.930248155600268,2011,Q1
THE BOEING COMPANY,12927,2011-06-30,941.0,16543.0,1534.0,5.688206492171916,2011,Q2
THE BOEING COMPANY,12927,2011-09-30,1098.0,17727.0,1714.0,6.193941445253004,2011,Q3
THE BOEING COMPANY,12927,2011-12-31,1393.0,19555.0,1597.0,7.123497826642803,2011,Q4
THE BOEING COMPANY,12927,2012-03-31,923.0,19383.0,1565.0,4.761904761904762,2012,Q1
THE BOEING COMPANY,12927,2012-06-30,967.0,20005.0,1542.0,4.833791552111972,2012,Q2
THE BOEING COMPANY,12927,2012-09-30,1032.0,20008.0,1559.0,5.157936825269892,2012,Q3
THE BOEING COMPANY,12927,2012-12-31,978.0,22302.0,1624.0,4.385256927629809,2012,Q4
THE BOEING COMPANY,12927,2013-03-31,1106.0,18893.0,1528.0,5.854020007410152,2013,Q1
THE BOEING COMPANY,12927,2013-06-30,1088.0,21815.0,1716.0,4.987393994957598,2013,Q2
THE BOEING COMPANY,12927,2013-09-30,1158.0,22130.0,1803.0,5.232715770447356,2013,Q3
THE BOEING COMPANY,12927,2013-12-31,1233.0,23785.0,1515.0,5.183939457641371,2013,Q4
THE BOEING COMPANY,12927,2014-03-31,965.0,20465.0,1542.0,4.7153677009528465,2014,Q1
THE BOEING COMPANY,12927,2014-06-30,1653.0,22045.0,1787.0,7.498298933998639,2014,Q2
THE BOEING COMPANY,12927,2014-09-30,1362.0,23784.0,2119.0,5.726538849646821,2014,Q3
THE BOEING COMPANY,12927,2014-12-31,1466.0,24468.0,2025.0,5.991499100866438,2014,Q4
THE BOEING COMPANY,12927,2015-03-31,1336.0,22149.0,2019.0,6.0318750282179785,2015,Q1
THE BOEING COMPANY,12927,2015-06-30,1110.0,24543.0,1683.0,4.522674489671189,2015,Q2
THE BOEING COMPANY,12927,2015-09-30,1704.0,25849.0,2580.0,6.592131223645015,2015,Q3
THE BOEING COMPANY,12927,2015-12-31,1026.0,23573.0,1161.0,4.3524371102532555,2015,Q4
THE BOEING COMPANY,12927,2016-03-31,1219.0,22632.0,1788.0,5.386178861788618,2016,Q1
THE BOEING COMPANY,12927,2016-06-30,-234.0,24755.0,-419.0,-0.9452635831145223,2016,Q2
THE BOEING COMPANY,12927,2016-09-30,2279.0,23898.0,2282.0,9.53636287555444,2016,Q3
THE BOEING COMPANY,12927,2016-12-31,1631.0,23286.0,2183.0,7.004208537318561,2016,Q4
THE BOEING COMPANY,12927,2017-03-31,1579.0,21961.0,2206.0,7.190018669459497,2017,Q1
THE BOEING COMPANY,12927,2017-06-30,1749.0,23051.0,2530.0,7.587523317860397,2017,Q2
THE BOEING COMPANY,12927,2017-09-30,1810.0,24223.0,2630.0,7.472237130000413,2017,Q3
THE BOEING COMPANY,12927,2017-12-31,3320.0,24770.0,2978.0,13.403310456197012,2017,Q4
THE BOEING COMPANY,12927,2018-03-31,2477.0,23382.0,2875.0,10.593619023180224,2018,Q1
THE BOEING COMPANY,12927,2018-06-30,2196.0,24258.0,2710.0,9.05268365075439,2018,Q2
THE BOEING COMPANY,12927,2018-09-30,2363.0,25146.0,2227.0,9.39712081444365,2018,Q3
THE BOEING COMPANY,12927,2018-12-31,3424.0,28341.0,4175.0,12.081436787692743,2018,Q4
THE BOEING COMPANY,12927,2019-03-31,2149.0,22917.0,2350.0,9.377318148099665,2019,Q1
THE BOEING COMPANY,12927,2019-06-30,-2942.0,15751.0,-3380.0,-18.678179163227732,2019,Q2
THE BOEING COMPANY,12927,2019-09-30,1167.0,19980.0,1259.0,5.8408408408408405,2019,Q3
THE BOEING COMPANY,12927,2019-12-31,-1010.0,17911.0,-2204.0,-5.63899279772207,2019,Q4
THE BOEING COMPANY,12927,2020-03-31,-628.0,16908.0,-1353.0,-3.714218121599243,2020,Q1
THE BOEING COMPANY,12927,2020-06-30,-2376.0,11807.0,-2964.0,-20.12365545862624,2020,Q2
THE BOEING COMPANY,12927,2020-09-30,-449.0,14139.0,-401.0,-3.175613551170521,2020,Q3
THE BOEING COMPANY,12927,2020-12-31,-8420.0,15304.0,-8049.0,-55.01829587036069,2020,Q4
THE BOEING COMPANY,12927,2021-03-31,-537.0,15217.0,-83.0,-3.5289478872313857,2021,Q1
THE BOEING COMPANY,12927,2021-06-30,587.0,16998.0,1023.0,3.4533474526414873,2021,Q2
THE BOEING COMPANY,12927,2021-09-30,-109.0,15278.0,329.0,-0.7134441680848279,2021,Q3
THE BOEING COMPANY,12927,2022-03-31,-1219.0,13991.0,-1162.0,-8.712743906797227,2022,Q1
THE BOEING COMPANY,12927,2022-06-30,193.0,16681.0,780.0,1.15700497572088,2022,Q2
THE BOEING COMPANY,12927,2022-09-30,-3275.0,15956.0,-2792.0,-20.525194284281774,2022,Q3
THE BOEING COMPANY,12927,2023-03-31,-414.0,17921.0,-149.0,-2.310138943139334,2023,Q1
THE BOEING COMPANY,12927,2023-06-30,-149.0,19751.0,-99.0,-0.754392182674295,2023,Q2
THE BOEING COMPANY,12927,2023-09-30,-1636.0,18104.0,-808.0,-9.036676977463545,2023,Q3
